state,weekly_welfare_dollars_2020,total_crime_per_100k_pop
Alabama,275,3336.8
Alaska,442,4185.5
Arizona,240,3151.7
Arkansas,451,3456.6
California,450,2827.8
Colorado,597,3068.8
Connecticut,724,1888.4
Delaware,400,2748
Florida,275,2666.7
Georgia,365,2900.3
Hawaii,648,3118.9
Idaho,414,1688.5
Illinois,649,2336.9
Indiana,390,2561.6
Iowa,697,1941.6
Kansas,488,3072.9
Kentucky,552,2174.5
Louisiana,247,3813.5
Maine,629,1469.9
Maryland,430,2502
Massachusetts,1,220,1601.4
Michigan,571,2102.9
Minnesota,717,2214.2
Mississippi,235,2637.4
Missouri,320,3149.2
Montana,552,2870.4
Nebraska,440,2364.7
Nevada,450,2979.3
New Hampshire,427,1421.7
New Jersey,696,1613
New Mexico,542,4276.3
New York,504,1791
North Carolina,400,2871.7
North Dakota,618,2320.8
Ohio,802,2457
Oklahoma,520,3341.1
Oregon,648,3179.5
Pennsylvania,580,1795.9
Rhode Island,730,1880
South Carolina,326,3505.9
South Dakota,414,2133.4
Tennessee,275,3449.1
Texas,521,2778.1
Utah,560,2610.6
Vermont,513,1455.1
Virginia,378,1865.8
Washington,790,3257.7
West Virginia,424,1775.5
Wisconsin,370,1855.3
Wyoming,508,1997.3
