state,weekly_welfare_dollars_2020,percentage_of_labor_force_unemployed_2019
Alabama,275,3.6
Alaska,442,6.1
Arizona,240,4.9
Arkansas,451,3.6
California,450,4.3
Colorado,597,3.2
Connecticut,724,3.8
Delaware,400,3.5
Florida,275,3.4
Georgia,365,3.8
Hawaii,648,2.8
Idaho,414,2.9
Illinois,649,4.4
Indiana,390,3.6
Iowa,697,2.7
Kansas,488,3.3
Kentucky,552,4.2
Louisiana,247,4.7
Maine,629,3.2
Maryland,430,3.8
Massachusetts,220,3.1
Michigan,571,4.2
Minnesota,717,3.2
Mississippi,235,5.1
Missouri,320,3.2
Montana,552,3.5
Nebraska,440,3
Nevada,450,4.2
New Hampshire,427,2.5
New Jersey,696,3.7
New Mexico,542,5
New York,504,4
North Carolina,400,4
North Dakota,618,2.3
Ohio,802,4.3
Oklahoma,520,3.3
Oregon,648,4.2
Pennsylvania,580,4.1
Rhode Island,730,3.7
South Carolina,326,3.4
South Dakota,414,3.1
Tennessee,275,3.4
Texas,521,3.7
Utah,560,2.9
Vermont,513,2.4
Virginia,378,3
Washington,790,4.5
West Virginia,424,4.9
Wisconsin,370,3.1
Wyoming,508,3.5
